Date,Close
3/28/2014 16:00:00,27.92
4/4/2014 16:00:00,27.08
4/11/2014 16:00:00,26.46
4/17/2014 16:00:00,26.73
4/25/2014 16:00:00,25.74
5/2/2014 16:00:00,26.32
5/9/2014 16:00:00,25.87
5/16/2014 16:00:00,25.96
5/23/2014 16:00:00,27.56
5/30/2014 16:00:00,27.92
6/6/2014 16:00:00,27.74
6/13/2014 16:00:00,27.51
6/20/2014 16:00:00,27.74
6/27/2014 16:00:00,28.78
7/3/2014 16:00:00,29.16
7/11/2014 16:00:00,28.88
7/18/2014 16:00:00,29.67
7/25/2014 16:00:00,29.37
8/1/2014 16:00:00,28.23
8/8/2014 16:00:00,28.36
8/15/2014 16:00:00,28.6
8/22/2014 16:00:00,29.05
8/29/2014 16:00:00,28.5
9/5/2014 16:00:00,29.22
9/12/2014 16:00:00,28.7
9/19/2014 16:00:00,29.72
9/26/2014 16:00:00,28.78
10/3/2014 16:00:00,28.69
10/10/2014 16:00:00,27.15
10/17/2014 16:00:00,25.49
10/24/2014 16:00:00,26.92
10/31/2014 16:00:00,27.88
11/7/2014 16:00:00,26.98
11/14/2014 16:00:00,27.15
11/21/2014 16:00:00,26.8
11/28/2014 16:00:00,27.02
12/5/2014 16:00:00,26.19
12/12/2014 16:00:00,25.86
12/19/2014 16:00:00,25.75
12/26/2014 16:00:00,26.63
1/2/2015 16:00:00,26.17
1/9/2015 16:00:00,24.74
1/16/2015 16:00:00,25.33
1/23/2015 16:00:00,26.92
1/30/2015 16:00:00,26.65
2/6/2015 16:00:00,26.48
2/13/2015 16:00:00,27.38
2/20/2015 16:00:00,26.87
2/27/2015 16:00:00,27.84
3/6/2015 16:00:00,28.31
3/13/2015 16:00:00,27.29
3/20/2015 16:00:00,27.94
3/27/2015 16:00:00,27.34
4/2/2015 16:00:00,26.7
4/10/2015 16:00:00,26.93
4/17/2015 16:00:00,26.13
4/24/2015 16:00:00,28.18
5/1/2015 16:00:00,26.9
5/8/2015 16:00:00,26.91
5/15/2015 16:00:00,26.69
5/22/2015 16:00:00,27.01
5/29/2015 16:00:00,26.61
6/5/2015 16:00:00,26.67
6/12/2015 16:00:00,26.62
6/19/2015 16:00:00,26.83
6/26/2015 16:00:00,26.58
7/2/2015 16:00:00,26.17
7/10/2015 16:00:00,26.51
7/17/2015 16:00:00,33.65
7/24/2015 16:00:00,31.18
7/31/2015 16:00:00,31.28
8/7/2015 16:00:00,31.77
8/14/2015 16:00:00,32.86
8/21/2015 16:00:00,30.62
8/28/2015 16:00:00,31.52
9/4/2015 16:00:00,30.04
9/11/2015 16:00:00,31.29
9/18/2015 16:00:00,31.46
9/25/2015 16:00:00,30.6
10/2/2015 16:00:00,31.35
10/9/2015 16:00:00,32.18
10/16/2015 16:00:00,33.11
10/23/2015 16:00:00,35.1
10/30/2015 16:00:00,35.54
11/6/2015 16:00:00,36.69
11/13/2015 16:00:00,35.85
11/20/2015 16:00:00,37.83
11/27/2015 16:00:00,37.51
12/4/2015 16:00:00,38.34
12/11/2015 16:00:00,36.94
12/18/2015 16:00:00,36.97
12/24/2015 16:00:00,37.42
12/31/2015 16:00:00,37.94
1/8/2016 16:00:00,35.72
1/15/2016 16:00:00,34.72
1/22/2016 16:00:00,36.26
1/29/2016 16:00:00,37.15
2/5/2016 16:00:00,34.18
2/12/2016 16:00:00,34.12
2/19/2016 16:00:00,35.05
2/26/2016 16:00:00,35.25
3/4/2016 16:00:00,35.54
3/11/2016 16:00:00,36.34
3/18/2016 16:00:00,36.88
3/24/2016 16:00:00,36.77
4/1/2016 16:00:00,37.5
4/8/2016 16:00:00,36.96
4/15/2016 16:00:00,37.95
4/22/2016 16:00:00,35.94
4/29/2016 16:00:00,34.65
5/6/2016 16:00:00,35.56
5/13/2016 16:00:00,35.54
5/20/2016 16:00:00,35.49
5/27/2016 16:00:00,36.63
6/3/2016 16:00:00,36.12
6/10/2016 16:00:00,35.97
6/17/2016 16:00:00,34.59
6/24/2016 16:00:00,33.76
7/1/2016 16:00:00,34.96
7/8/2016 16:00:00,35.28
7/15/2016 16:00:00,35.99
7/22/2016 16:00:00,37.14
7/29/2016 16:00:00,38.44
8/5/2016 16:00:00,39.11
8/12/2016 16:00:00,39.16
8/19/2016 16:00:00,38.77
8/26/2016 16:00:00,38.48
9/2/2016 16:00:00,38.57
9/9/2016 16:00:00,37.98
9/16/2016 16:00:00,38.44
9/23/2016 16:00:00,39.35
9/30/2016 16:00:00,38.86
10/7/2016 16:00:00,38.75
10/14/2016 16:00:00,38.93
10/21/2016 16:00:00,39.97
10/28/2016 16:00:00,39.77
11/4/2016 16:00:00,38.1
11/11/2016 16:00:00,37.7
11/18/2016 16:00:00,38.03
11/25/2016 16:00:00,38.08
12/2/2016 16:00:00,37.53
12/9/2016 16:00:00,39.46
12/16/2016 16:00:00,39.54
12/23/2016 16:00:00,39.5
12/30/2016 16:00:00,38.59
1/6/2017 16:00:00,40.31
1/13/2017 16:00:00,40.39
1/20/2017 16:00:00,40.25
1/27/2017 16:00:00,41.17
2/3/2017 16:00:00,40.07
2/10/2017 16:00:00,40.68
2/17/2017 16:00:00,41.4
2/24/2017 16:00:00,41.43
3/3/2017 16:00:00,41.45
3/10/2017 16:00:00,42.16
3/17/2017 16:00:00,42.61
3/24/2017 16:00:00,40.72
3/31/2017 16:00:00,41.48
4/7/2017 16:00:00,41.23
4/13/2017 16:00:00,41.18
4/21/2017 16:00:00,42.16
4/28/2017 16:00:00,45.3
5/5/2017 16:00:00,46.36
5/12/2017 16:00:00,46.61
5/19/2017 16:00:00,46.7
5/26/2017 16:00:00,48.57
6/2/2017 16:00:00,48.78
6/9/2017 16:00:00,47.49
6/16/2017 16:00:00,46.99
6/23/2017 16:00:00,48.28
6/30/2017 16:00:00,45.44
7/7/2017 16:00:00,45.93
7/14/2017 16:00:00,47.8
7/21/2017 16:00:00,48.65
7/28/2017 16:00:00,47.08
8/4/2017 16:00:00,46.4
8/11/2017 16:00:00,45.72
8/18/2017 16:00:00,45.53
8/25/2017 16:00:00,45.79
9/1/2017 16:00:00,46.87
9/8/2017 16:00:00,46.33
9/15/2017 16:00:00,46.01
9/22/2017 16:00:00,46.43
9/29/2017 16:00:00,47.96
10/6/2017 16:00:00,48.94
10/13/2017 16:00:00,49.48
